+anka	nazwisko
+ina	nazwisko
+owa	nazwisko
+yna	nazwisko
+ówna	nazwisko
AA	organizacja|firma
AAP	instytucja
ABB	firma
ABBA	własna
ABC	firma
ADM	własna
ADN	instytucja
AF	organizacja|firma
AFP	firma
AGH	instytucja
AI	organizacja|firma
AIF	firma
AK	organizacja
AL	organizacja
ALGOL	wytwór
AM	instytucja
AMERBANK	firma
ANSA	firma
ANSI	instytucja
AON	instytucja
AP	instytucja
APA	firma
AR	instytucja
ARiMR	instytucja
ASEAN	organizacja
ASP	instytucja
ATK	instytucja
ATT	firma
AWD-Arena	geograficzna
AWF	instytucja
AWS	organizacja
AZS	organizacja
Aachen	geograficzna
Aara	geograficzna
Aaron	imię
Abacja	geograficzna
Abadan	geograficzna
Abaddon	imię
Abakan	geograficzna
Abakanowicz	nazwisko
Abana	geograficzna
Abaris	imię
Abaúj	geograficzna
Abchazja	geograficzna
Abdera	geograficzna
Abdiasz	imię
Abdon	imię
Abeba	geograficzna
Abel	imię
Abenceragowie	osoba
Abercjusz	imię
Aberdeen	geograficzna
Abiasz	imię
Abiatar	imię
Abidżan	geograficzna
Abigail	imię
Abijjam	imię
Abilena	geograficzna
Abimelek	imię
Abiram	imię
Abisag	imię
Abisynia	geograficzna
Abiszaj	imię
Abner	imię
Abraham	imię
Abraksas	własna
Abram	imię
Abramowice	geograficzna
Abramowicz	nazwisko
Abramowska	nazwisko
Abramowski	nazwisko
Abramy	geograficzna
Abramów	geograficzna
Abraxas	imię
Abruzja	geograficzna
Abruzzy	geograficzna
Absalom	imię
Absalon	imię
Abudża	geograficzna
Abwehra	organizacja
Accent	organizacja
Access	własna
Accord	organizacja
Acer	organizacja
Achab	imię
Achacjusz	imię
Achacy	imię
Achaja	geograficzna
Achates	imię
Achaz	imię
Acheron	geograficzna
Acheront	geograficzna
Achiasz	imię
Achil	imię
Achilles	imię
Achimaas	imię
Achimelech	imię
Achimelek	imię
Achitofel	imię
Achmad	imię
Achmatowa	nazwisko
Acis	imię
Aconcagua	geograficzna
Ad-Dauha	geograficzna
Ada	imię
Adad	imię
Adalberg	nazwisko
Adalbert	imię
Adam	imię
Adamastor	imię
Adamawa	geograficzna
Adamczak	nazwisko
Adamczewska	nazwisko
Adamczewski	nazwisko
Adamczyk	nazwisko
Adamek	nazwisko|geograficzna
Adamiak	nazwisko
Adamiec	nazwisko
Adamina	imię
Adamowice	geograficzna
Adamowicz	nazwisko
Adamowie	osoba
Adamowo	geograficzna
Adampol	geograficzna
Adamska	nazwisko
Adamski	nazwisko
Adamus	nazwisko
Adamów	geograficzna
Adamówek	geograficzna
Adamówka	geograficzna
Adana	geograficzna
Adasieczek	imię
Adasiek	imię
Adasiowie	osoba
Adaukt	imię
Adaś	imię
Addar	imię
Adela	imię
Adelaida	imię
Adelajda	imię
Adelbert	imię
Adelina	imię
Adelka	imię
Aden	geograficzna
Adenauer	nazwisko
Adidas	organizacja
Adjani	nazwisko
Adma	geograficzna
Admet	imię
Ado	imię
Adolf	imię
Adolfa	imię
Adolfek	imię
Adolfina	imię
Adolfowie	osoba
Adonai	imię
Adonaj	imię
Adoniasz	imię
Adonis	imię
Adramelek	imię
Adramyttion	geograficzna
Adrast	imię
Adria	imię
Adrian	imię
Adriana	imię
Adrianna	imię
Adrianopol	geograficzna
Adriatyk	geograficzna
Adwentowicz	nazwisko
Adyga	geograficzna
Adygeja	geograficzna
Adżaria	geograficzna
Adżman	geograficzna
Aecjusz	imię
Aerofłot	organizacja
Aerostar	organizacja
Afanasjew	nazwisko
Afanazy	imię
Afganistan	geograficzna
Afrodyta	imię
Afryka	geograficzna
Afrykańczyk	własna
Aftoniusz	imię
Aga	imię
Agamemnon	imię
Agania	geograficzna
Agapia	imię
Agapit	imię
Agata	imię
Agatka	imię
Agaton	imię
Agatonik	imię
Agca	nazwisko
Agder	geograficzna
Age	własna
Agenor	imię
Ageusz	imię
Aggeasz	imię
Aggeusz	imię
Agha	imię
Agis	imię
Agni	imię
Agnieszka	imię
Agora	własna
Agra	geograficzna
Agramant	imię
Agrykola	nazwisko|geograficzna
Agrypin	imię
Agrypina	imię
Agryppa	imię
Agunia	imię
Agusia	imię
Ahaswer	imię
Ahmed	imię
Ahr	geograficzna
Aida	imię
Airbus	organizacja
Aires	geograficzna
Ajax	organizacja
Ajdukiewicz	nazwisko
Ajschylos	imię
Ajudah	geograficzna
Akacjusz	imię
Akademgorodok	geograficzna
Akerman	geograficzna
Akershus	geograficzna
Akra	geograficzna
Akropol	geograficzna
Akropolis	geograficzna
Akrotiri	geograficzna
Aksentowicz	nazwisko
Akteon	osoba
Akwileja	geograficzna
Akwilon	imię
Akwin	geograficzna
Akwitania	geograficzna
Akwizgran	geograficzna
Al	imię
Al-Ujun	geograficzna
Ala	imię
Alabama	geograficzna
Aladyn	imię
Aladár	imię
Alagoas	geograficzna
Alan	imię
Alaryk	imię
Alaska	geograficzna
Alban	imię
Albania	geograficzna
Albaniusz	imię
Albena	geograficzna
Albeniz	nazwisko
Albercik	imię
Albert	imię
Alberta	imię
Albertina	geograficzna
Alberto	imię
Albertrandi	nazwisko
Albertus	imię
Albertyn	imię
Albertyna	imię
Albertów	geograficzna
Albigowa	geograficzna
Albin	imię
Albina	imię
Albion	geograficzna
Albrecht	imię
Albright	nazwisko
Alcatel	firma
Alcybiades	imię
Alderney	geograficzna
Aldona	imię
Aldonka	imię
Aldridge	geograficzna
Alek	imię
Aleks	imię
Aleksander	imię
Aleksandra	imię
Aleksandria	geograficzna
Aleksandrowicz	nazwisko
Aleksandrowo	geograficzna
Aleksandrów	geograficzna
Aleksandrówka	geograficzna
Aleksiej	imię
Aleksy	imię
Alembert	nazwisko
Aleuty	geograficzna
Alf	imię
Alfons	imię
Alfonsyna	imię
Alfred	imię
Alfreda	imię
Alfredo	imię
Algier	geograficzna
Algieria	geograficzna
Algol	język programowania
Ali	imię
Alicja	imię
Aligarh	geograficzna
Alighieri	nazwisko
Alina	imię
Alinka	imię
Alka	imię
Alkmena	imię
Alkmeon	imię
Alkoran	tytuł
Allach	imię
Allah	imię
Allan	imię
Allen	nazwisko
Allende	nazwisko
Allianz	organizacja
Almanzor	imię
Alo	imię
Alojza	imię
Alojzeczek	imię
Alojzek	imię
Alojzik	imię
Alojzy	imię
Alosza	imię
Alpinian	imię
Alpuhara	geograficzna
Alpy	geograficzna
Als	geograficzna
Altamira	geograficzna
Altus	geograficzna
Alusia	imię
Aluś	imię
Alwernia	geograficzna
Alzacja	geograficzna
Alzheimer	nazwisko
Amadea	imię
Amadeusz	imię
Amager	geograficzna
Amalia	imię
Amalryk	imię
Amaltea	imię
Amalteja	imię
Amanda	imię
Amati	nazwisko
Amazon	organizacja
Amazonas	geograficzna
Amazonia	geograficzna
Amazonka	geograficzna
Ambroziak	nazwisko
Ambrozik	imię
Ambrożek	imię
Ambroży	imię
Amedeusz	imię
Amelcia	imię
Amelia	imię
Amelka	imię
Ameryka	geograficzna
Amicis	nazwisko
Amiga	marka
Amman	geograficzna
Ammon	imię
Amnon	imię
Amon	imię
Amor	imię
Amorgos	geograficzna
Amos	imię
Ampére	nazwisko
Amsterdam	geograficzna
Amu-daria	geograficzna
Amundsen	nazwisko
Anakreont	nazwisko
Anaksagoras	nazwisko
Anaksymander	nazwisko
Anaksymenes	nazwisko
Anan	nazwisko
Ananiasz	imię
Ananke	imię
Anastazja	imię
Anastazy	imię
Anatol	imię
Anatolek	imię
Anatolia	imię|geograficzna
Anbar	geograficzna
Anda	imię
Andaluzja	geograficzna
Andegawen	członek rodu
Andegawenia	geograficzna
Anders	nazwisko
Andersen	nazwisko
Andonik	imię
Andora	geograficzna
Andreotti	nazwisko
Andrespol	geograficzna
Andriej	imię
Andriolli	nazwisko
Andrić	nazwisko
Andromacha	imię
Andromeda	imię|astr.
Andros	geograficzna
Andrychów	geograficzna
Andrycz	nazwisko
Andrzej	imię
Andrzejczak	nazwisko
Andrzejek	imię
Andrzejewska	nazwisko
Andrzejewski	nazwisko
Andrzejów	geograficzna
Andrzejówka	geograficzna
Andrássy	nazwisko
André	imię
Andy	geograficzna
Andzia	imię
Aneczka	imię
Aneta	imię
Anetka	imię
Anfield	geograficzna
Angara	geograficzna
Angel	imię
Angela	imię
Angeles	geograficzna
Angelico	imię
Angelika	imię
Angelina	imię
Angelus	imię
Anglesey	geograficzna
Anglia	geograficzna
Angol	osoba
Angola	geograficzna
Anguilla	geograficzna
Anhalt	geograficzna
Anhelli	imię
Anholt	geograficzna
Anhui	geograficzna
Ania	imię
Anicet	imię
Aniela	imię
Anielcia	imię
Anielin	geograficzna
Anielka	imię
Anioł	nazwisko
Anita	imię
Anjikuni	geograficzna
Anjouan	geograficzna
Anka	imię
Ankara	geograficzna
Ankwicz	nazwisko
Ankwiczówna	nazwisko
Anna	imię
Annapurna	geograficzna
Annasz	imię
Annopol	geograficzna
Annowo	geograficzna
Anouilh	nazwisko
Antananarywa	geograficzna
Antarktyda	geograficzna
Antarktyka	geograficzna
Antczak	nazwisko
Ante	imię
Antek	imię
Antemiusz	imię
Antenor	imię
Anticosti	geograficzna
Antigua	geograficzna
Antioch	imię
Antiochia	geograficzna
Antioquia	geograficzna
Antkowiak	nazwisko
Antofalla	geograficzna
Antoni	imię
Antoniew	geograficzna
Antoniewo	geograficzna
Antonin	imię
Antonina	imię
Antoninów	geograficzna
Antonio	imię
Antonioni	nazwisko
Antoniuk	nazwisko|geograficzna
Antoniusz	imię
Antoniów	geograficzna
Antoniówka	geograficzna
Antosia	imię
Antoś	imię
Antwerpia	geograficzna
Antygona	imię
Antyle	geograficzna
Antym	imię
Antypas	imię
Antystenes	nazwisko
Anula	imię
Anusia	imię
Anusiewicz	nazwisko
Anusin	geograficzna
Anzelm	imię
