AK - owsko	AK-owsko	adv:pos
AL - owsko	AL-owsko	adv:pos
anglo - amerykańsko	anglo-amerykańsko	adv:pos
austro - węgiersko	austro-węgiersko	adv:pos
ciut - ciut	ciut-ciut	adv:pos
fifty - fifty	fifty-fifty	adv:pos
GUS - owsko	GUS-owsko	adv:pos
KOR - owsko	KOR-owsko	adv:pos
NATO - wsko	NATO-wsko	adv:pos
newage'owo	newage'owo	adv:pos
nie - AK - owsko	nie-AK-owsko	adv:pos
nie - AL - owsko	nie-AL-owsko	adv:pos
nieanglo - amerykańsko	nieanglo-amerykańsko	adv:pos
nieaustro - węgiersko	nieaustro-węgiersko	adv:pos
nie - GUS - owsko	nie-GUS-owsko	adv:pos
nie - KOR - owsko	nie-KOR-owsko	adv:pos
nie - NATO - wsko	nie-NATO-wsko	adv:pos
nie - NRD - owsko	nie-NRD-owsko	adv:pos
nie - NRF - owsko	nie-NRF-owsko	adv:pos
nie - NSZ - owsko	nie-NSZ-owsko	adv:pos
nie - ONR - owsko	nie-ONR-owsko	adv:pos
nie - ONZ - owsko	nie-ONZ-owsko	adv:pos
nie - OPZZ - owsko	nie-OPZZ-owsko	adv:pos
nieosko - umbryjsko	nieosko-umbryjsko	adv:pos
nie - PAN - owsko	nie-PAN-owsko	adv:pos
nie - PAP - owsko	nie-PAP-owsko	adv:pos
nie - PAX - owsko	nie-PAX-owsko	adv:pos
nie - PGR - owsko	nie-PGR-owsko	adv:pos
nie - PiS - owsko	nie-PiS-owsko	adv:pos
nie - PIW - owsko	nie-PIW-owsko	adv:pos
niepop - artowsko	niepop-artowsko	adv:pos
nie - PPS - owsko	nie-PPS-owsko	adv:pos
nie - PRL - owsko	nie-PRL-owsko	adv:pos
nie - PSL - owsko	nie-PSL-owsko	adv:pos
nie - PTTK - owsko	nie-PTTK-owsko	adv:pos
nie - PWN - owsko	nie-PWN-owsko	adv:pos
nie - PZPR - owsko	nie-PZPR-owsko	adv:pos
nie - RFN - owsko	nie-RFN-owsko	adv:pos
nierock ’ n ’ rollowo	nierock’n’rollowo	adv:pos
nie - RWPG - owsko	nie-RWPG-owsko	adv:pos
niesaussure ’ owsko	niesaussure’owsko	adv:pos
niesemito - chamicko	niesemito-chamicko	adv:pos
nie - SLD - owsko	nie-SLD-owsko	adv:pos
niesoftware ’ owo	niesoftware’owo	adv:pos
niestaro - cerkiewno - słowiańsko	niestaro-cerkiewno-słowiańsko	adv:pos
nietien - szańsko	nietien-szańsko	adv:pos
nie - TPD - owsko	nie-TPD-owsko	adv:pos
nieuralo - ałtajsko	nieuralo-ałtajsko	adv:pos
nie - VAT - owsko	nie-VAT-owsko	adv:pos
nie - WAT - owsko	nie-WAT-owsko	adv:pos
nie - ZChN - owsko	nie-ZChN-owsko	adv:pos
nie - ZOMO - wsko	nie-ZOMO-wsko	adv:pos
NRD - owsko	NRD-owsko	adv:pos
NRF - owsko	NRF-owsko	adv:pos
NSZ - owsko	NSZ-owsko	adv:pos
off - line	off-line	adv:pos
on - line	on-line	adv:pos
ONR - owsko	ONR-owsko	adv:pos
ONZ - owsko	ONZ-owsko	adv:pos
OPZZ - owsko	OPZZ-owsko	adv:pos
osko - umbryjsko	osko-umbryjsko	adv:pos
PAN - owsko	PAN-owsko	adv:pos
PAP - owsko	PAP-owsko	adv:pos
PAX - owsko	PAX-owsko	adv:pos
PGR - owsko	PGR-owsko	adv:pos
PiS - owsko	PiS-owsko	adv:pos
PIW - owsko	PIW-owsko	adv:pos
pop - artowsko	pop-artowsko	adv:pos
PPS - owsko	PPS-owsko	adv:pos
PRL - owsko	PRL-owsko	adv:pos
PSL - owsko	PSL-owsko	adv:pos
PTTK - owsko	PTTK-owsko	adv:pos
PWN - owsko	PWN-owsko	adv:pos
PZPR - owsko	PZPR-owsko	adv:pos
RFN - owsko	RFN-owsko	adv:pos
rock ’ n ’ rollowo	rock’n’rollowo	adv:pos
RWPG - owsko	RWPG-owsko	adv:pos
saussure ’ owsko	saussure’owsko	adv:pos
semito - chamicko	semito-chamicko	adv:pos
SLD - owsko	SLD-owsko	adv:pos
software ’ owo	software’owo	adv:pos
staro - cerkiewno - słowiańsko	staro-cerkiewno-słowiańsko	adv:pos
tête - à - tête	tête-à-tête	adv:pos
tête - à - tête	tête-à-tête	adv:pos
tien - szańsko	tien-szańsko	adv:pos
tip - top	tip-top	adv:pos
TPD - owsko	TPD-owsko	adv:pos
uralo - ałtajsko	uralo-ałtajsko	adv:pos
VAT - owsko	VAT-owsko	adv:pos
vis - à - vis	vis-à-vis	adv:pos
vis - à - vis	vis-à-vis:d	adv:pos
WAT - owsko	WAT-owsko	adv:pos
ZChN - owsko	ZChN-owsko	adv:pos
