Anieliński
Rożniatowski
Rudnicki
Rudny
Rusiecki
Ruski
Rustykalny
Ruszkowski
Rybacki
Rybnowski
Ryszewski
Rzadki
Rzochowski
Rząsiński
Różaniecki
Sanocki
Sarbiński
Schodzieński
Sempławski
Siedlikowski
Sielecki
Sienneński
Skaratkowski
Skierdowski
Skopowski
Skotnicki
Skrzyszowski
Smużny
Snopkowski
Sobiczewski
Sokolnicki
Sokołowski
Solski
Sołtysi
Stachowski
Stanisławowski
Starobielski
Staromiejski
Starowiejski
Stary
Stały
Stolarski
Stopnicki
Strachanowski
Strażnicki
Strugienicki
Strugieński
Strzebiński
Strzelecki
Strzyżewski
Strążycki
Styrzyniecki
Stępowski
Sufczyński
Sukmański
Sulikowski
Sulinowski
Sumiński
Szczawnicki
Szczeciński
Szczepanowski
Szczuciński
Szczycieński
Szkolny
Szlachecki
Szpitalny
Szwarcmanowski
Sędziszowski
Słabomierski
Słoneczny
Słopnicki
Słotwiński
Słupski
Słębowski
Tadajewski
Tapiński
Tarchomiński
Tatarski
Telakowski
Toczyski
Tonowski
Trojadyński
Tropiszowski
Tryszczyński
Trąbiński
Trątnowski
Tuligłowski
Tumski
Turski
Tworkowski
Ujejski
Unisławski
Ustrzeski
Warszawski
Warężyński
Wawerski
Wawrzęczycki
Wichradzki
Wiejski
Wieniecki
Wieruszowski
Wierzbicki
Wiewiórczyński
Wiewiórowski
Wikaryjski
Wiktorowski
Wilamowski
Wileński
Wilkowski
Wisłocki
Witowski
Więckowski
Więsławski
Wojciechowski
Wojewódzki
Wojnowy
Wojsławicki
Wojsławski
Wolański
Wolski
Woźnicki
Wroczyński
Wronowski
Wrotkowski
Wrzawski
Wyciąski
Wydrzański
Wygiełzowski
Wylowski
Wylęgowski
Wyszogrodzki
Wytycki
Wyżni
Wyższy
Wójciński
Wólczyński
Węgierski
Węgrzynowski
Zabrski
Zacharzewski
Zachodni
Zaczerski
Zafabryczny
Zagórski
Zalewski
Zamarcki
Zamecki
Zamiejski
Zamieński
Zamkowy
Zamojski
Zanotecki
Zaruzieński
Zarzeczny
Zarąbski
Zawadowski
Zawadzki
Zieliniecki
Zwierzyniecki
Zwykły
Zygmuntowski
Zębowski
Złocki
Łachowski
Łanowy
Łapinowski
Łapszowski
Łapszy
Łaski
Łatanicki
Ławny
Łazarski
Łazowski
Łazowy
Łański
Łobaczewski
Łochocki
Łopaci
Łosi
Łoński
Łucki
Ługowy
Łużecki
Łysy
Łążyński
Łęcki
Łękawicki
Łężycki
Śniatycki
Średni
Środkowy
Świderski
Świdnicki
Świetlikowski
Świętojański
Świętopawelski
Żalski
Żarecki
Żarowski
Żarski
Żdżarowski
Żernicki
Żukowski
Żużolski
Życki
Żyrakowski
Żytowski
Barani
Błażejewski
Ciełuchowski
Czołny
Dobry
Dąbkowy
Dąbrowy
Farski
Folwarczny
Gliniecki
Grabski
Jeziorski
Józefaty
Kniażycki
Kłonicki
Małkowski
Nowowiejski
Oleksiański
Ostrowity
Parowy
Rysi
Skierdowski
Stobierny
Wesoły
Wroński
Zaleski
